:START_ID,:END_ID,:TYPE,circled:boolean,citations:string[],confidence:float,context,verification_status
person_059,person_062,SUED_BY,,,0.7,Co-plaintiff with Edwards in defamation suit against Dershowitz,Unverified
person_132,org_098,SUED_BY,,,0.7,,Unverified
person_153,person_015,SUED_BY,,63;41;61;43;44,1.0,,Factual
person_153,person_062,SUED_BY,,,0.3,,Speculative
person_066,person_027,SUED_BY,,66;67,0.2,,Speculative
person_066,person_001,SUED_BY,,5;20;24;27;7;16;29;47;28;35;26;19;34;65;6;38;21;32;44;30;40;9;2;39;67;51;33;45;66;63;41;68;61;43;10,0.87,Personally representing Jane Doe 43 in case against JE,Factual
person_002,person_022,SUED_BY,false,,0.7,Filed lawsuit. Sued Maxwell for defamation after Maxwell called accusations 'all lies',Unverified
person_001,person_059,SUED_BY,false,63;41;61;43;44,1.0,Filed civil suit on behalf of Jane Doe in Aug 2008 with RICO count. Epstein sued Edwards in return,Factual
person_001,person_009,SUED_BY,false,,0.7,Involved in court case regarding illegal subletting of E 69th St property,Unverified
person_001,person_016,SUED_BY,false,,0.7,Co-defendant in lawsuit Epstein filed against Edwards and Rothstein in 2009/2010,Unverified
person_061,person_015,SUED_BY,false,63;41;61;43;44,1.0,Edwards sued Dershowitz for defamation January 6 2015,Factual
person_061,person_062,SUED_BY,false,,0.7,Co-plaintiff with Edwards in defamation suit,Unverified
person_059,person_061,SUED_BY,false,,0.7,Edwards sued Dershowitz for defamation January 6 2015,Unverified
person_061,person_061b,SUED_BY,,,0.7,Attorney representing Edwards and Cassell,Unverified
person_061,person_151,SUED_BY,,,0.7,Dershowitz disclosed confidential settlement discussion with Boies,Unverified
person_066,person_061,SUED_BY,,,0.7,Dershowitz disclosed confidential settlement discussion with Boies,Unverified
person_059,person_001,SUED_BY,,5;20;24;27;7;16;29;47;28;35;26;19;34;65;6;38;21;32;44;30;40;9;2;39;67;51;33;45;66;63;41;68;61;43;10,0.87,Plaintiff's attorney in lawsuit. Filed multiple lawsuits against JE on behalf of victims,Factual
